timestamp,fuel,percentage
2026-07-05T10:30Z,nuclear,10.3
2026-07-05T10:30Z,other,3.0
2026-07-05T10:30Z,hydro,2.3
2026-07-05T10:30Z,solar,33.5
2026-07-05T10:30Z,wind,17.0
2026-07-05T11:00Z,biomass,3.5
2026-07-05T11:00Z,coal,0.0
2026-07-05T11:00Z,imports,20.3
2026-07-05T11:00Z,gas,9.3
2026-07-05T11:00Z,nuclear,10.2
2026-07-05T11:00Z,other,2.4
2026-07-05T11:00Z,hydro,1.1
2026-07-05T11:00Z,solar,33.8
2026-07-05T11:00Z,wind,19.3
2026-07-05T11:30Z,biomass,3.5
2026-07-05T11:30Z,coal,0.0
2026-07-05T11:30Z,imports,20.0
2026-07-05T11:30Z,gas,8.5
2026-07-05T11:30Z,nuclear,10.0
2026-07-05T11:30Z,other,2.1
2026-07-05T11:30Z,hydro,0.8
2026-07-05T11:30Z,solar,34.7
2026-07-05T11:30Z,wind,20.4
2026-07-05T12:00Z,biomass,3.4
2026-07-05T12:00Z,coal,0.0
2026-07-05T12:00Z,imports,19.8
2026-07-05T12:00Z,gas,7.7
2026-07-05T12:00Z,nuclear,9.9
2026-07-05T12:00Z,other,2.2
2026-07-05T12:00Z,hydro,0.6
2026-07-05T12:00Z,solar,34.9
2026-07-05T12:00Z,wind,21.4
2026-07-05T12:30Z,biomass,3.4
2026-07-05T12:30Z,coal,0.0
2026-07-05T12:30Z,imports,19.3
2026-07-05T12:30Z,gas,7.6
2026-07-05T12:30Z,nuclear,9.7
2026-07-05T12:30Z,other,2.0
2026-07-05T12:30Z,hydro,0.5
2026-07-05T12:30Z,solar,35.0
2026-07-05T12:30Z,wind,22.5
2026-07-05T13:00Z,biomass,3.3
2026-07-05T13:00Z,coal,0.0
2026-07-05T13:00Z,imports,18.8
2026-07-05T13:00Z,gas,7.6
2026-07-05T13:00Z,nuclear,9.5
2026-07-05T13:00Z,other,2.0
2026-07-05T13:00Z,hydro,0.5
2026-07-05T13:00Z,solar,35.0
2026-07-05T13:00Z,wind,23.4
2026-07-05T13:30Z,biomass,3.3
2026-07-05T13:30Z,coal,0.0
2026-07-05T13:30Z,imports,18.7
2026-07-05T13:30Z,gas,7.7
2026-07-05T13:30Z,nuclear,9.4
2026-07-05T13:30Z,other,2.0
2026-07-05T13:30Z,hydro,0.6
2026-07-05T13:30Z,solar,34.3
2026-07-05T13:30Z,wind,23.9
2026-07-05T14:00Z,biomass,3.6
2026-07-05T14:00Z,coal,0.0
2026-07-05T14:00Z,imports,19.1
2026-07-05T14:00Z,gas,8.3
2026-07-05T14:00Z,nuclear,9.5
2026-07-05T14:00Z,other,2.2
2026-07-05T14:00Z,hydro,0.6
2026-07-05T14:00Z,solar,34.3
2026-07-05T14:00Z,wind,22.4
2026-07-05T14:30Z,biomass,3.9
2026-07-05T14:30Z,coal,0.0
2026-07-05T14:30Z,imports,21.7
2026-07-05T14:30Z,gas,10.1
2026-07-05T14:30Z,nuclear,9.6
2026-07-05T14:30Z,other,1.5
2026-07-05T14:30Z,hydro,0.6
2026-07-05T14:30Z,solar,32.5
2026-07-05T14:30Z,wind,20.1
2026-07-05T15:00Z,biomass,4.0
